评论时间,评论者,弹幕内容
2022/4/3 16:10,重返帝国手游,好好上课小伙汁[doge]
2022/4/4 12:47,五所逝世,嗨嗨嗨[doge]
2022/4/2 12:19,ohFOUND,懂了某幻是番茄的勇士[tv_doge]
2022/4/2 18:10,TOT-TNT-TWT-TUT,反正我个人觉得这游戏不好玩，up主已经很努力让他看起来搞笑好玩了
2022/4/2 18:11,-惜-年-,甚至不敢放出多少真实游戏画面[doge]
2022/4/2 21:22,LUYOUYOU_,他尽力了[doge]
2022/4/2 12:21,赵甜辛的宝贝黎叔叔,02:52中国boy友情出场[doge]
2022/4/2 12:27,北冥思鱼,昵称不错[脱单doge]
2022/4/2 12:27,Chakey_M7,《傻手47》
2022/4/2 12:43,赵甜辛的宝贝黎叔叔,回复@北冥思鱼:[原神_欸嘿]
2022/4/2 17:40,某重置的一方通行,看起来确实挺好玩的，但是这仅限于看了视频，tx游戏什么样都懂的都懂hhhh[鹿乃_DD斩]
2022/4/2 19:10,昵称不能带特殊符号,真想玩还不如去玩p社的或者文明系列
2022/4/3 16:14,重返帝国手游,领主大人，游戏已经开服了，可以免费下载体验一下哟[脱单doge]
2022/4/4 12:43,EGGandFISH,回复@重返帝国手游:你好努力
2022/4/2 12:34,请停止一切手s行为,两个小时内可以退款吗？[doge][doge][doge]
2022/4/2 12:43,谁有修改器啊,啊可以可以[doge]
2022/4/2 12:45,芝士焗猪扒,嗯…怎么不行呢？
2022/4/2 12:58,Myosotis_RM,想玩国产买断制游戏想疯了是吧[doge][doge]
2022/4/3 9:14,影养的氢气球,好吧我们收获了新视频番茄恰到了钱钱只有甲方一无所获[哈哈]
2022/4/3 15:18,OP丶SQJ,好开始还以为重返帝国是个即时策略游戏结果是一个传统氪金网游
2022/4/3 15:19,霜星啊,重返帝国是slg，即时战略是rts
2022/4/9 12:39,可恶的地球人z,不传统哦，哪有传统氪金网游敢一开服就向玩家要10w的呢，怎么样，够不够创新[doge]
2022/4/2 19:24,涣灭之冰,关于我看了一年老番茄没点关注这件事
2022/4/2 12:13,雨唱着无旋律的歌儿,0.538年=7个月=211天=5064小时=303840分钟=18230400秒，我帮大家换算好了👌🏻[doge]
2022/4/2 12:14,压梅蝶,一眼假啊。。。哪有7个月啊，6.456个月好吗
2022/4/2 12:18,emodash,一刷十个赞真好玩[doge]
2022/4/2 12:21,喷电下龙-精准制导,回复@压梅蝶:视频里是0.583，层主打错了应该
2022/4/2 14:53,翔宇哥O,同志们，我网课挂了(语文)来看视频，我做的对不[doge]
2022/4/2 14:58,巨兽吃我炸弹,今天不是周六吗？
